Epoch 7: {'val_loss': '1.38847', 'val_r_square': '0.00598', 'train_loss': '0.95011'}
Epoch 8: {'val_loss': '1.37264', 'val_r_square': '0.00521', 'train_loss': '0.94844'}
Epoch 9: {'val_loss': '1.37292', 'val_r_square': '0.00549', 'train_loss': '0.94721'}
Epoch 10: {'val_loss': '1.38846', 'val_r_square': '0.00467', 'train_loss': '0.94589'}
Epoch 11: {'val_loss': '1.34607', 'val_r_square': '0.00568', 'train_loss': '0.94107'}
Epoch 12: {'val_loss': '1.35245', 'val_r_square': '0.00566', 'train_loss': '0.94076'}
Epoch 13: {'val_loss': '1.31941', 'val_r_square': '0.00632', 'train_loss': '0.94040'}
Epoch 14: {'val_loss': '1.37418', 'val_r_square': '0.00715', 'train_loss': '0.93968'}
Epoch 15: {'val_loss': '1.30896', 'val_r_square': '0.00534', 'train_loss': '0.93946'}
Epoch 16: {'val_loss': '1.30560', 'val_r_square': '0.00610', 'train_loss': '0.93920'}
Epoch 17: {'val_loss': '1.31223', 'val_r_square': '0.00565', 'train_loss': '0.93572'}
Epoch 18: {'val_loss': '1.34226', 'val_r_square': '0.00578', 'train_loss': '0.93517'}
Epoch 19: {'val_loss': '1.38119', 'val_r_square': '0.00599', 'train_loss': '0.93509'}
Epoch 20: {'val_loss': '1.37553', 'val_r_square': '0.00554', 'train_loss': '0.93482'}
Epoch 21: {'val_loss': '1.37186', 'val_r_square': '0.00324', 'train_loss': '0.93464'}
Epoch 22: {'val_loss': '1.35392', 'val_r_square': '0.00616', 'train_loss': '0.93421'}
Epoch 23: {'val_loss': '1.32248', 'val_r_square': '0.00545', 'train_loss': '0.93211'}
Epoch 24: {'val_loss': '1.36517', 'val_r_square': '0.00500', 'train_loss': '0.93164'}
Epoch 25: {'val_loss': '1.34951', 'val_r_square': '0.00484', 'train_loss': '0.93168'}
Epoch 26: {'val_loss': '1.36192', 'val_r_square': '0.00635', 'train_loss': '0.93131'}
Epoch 27: {'val_loss': '1.37533', 'val_r_square': '0.00607', 'train_loss': '0.93121'}
Epoch 28: {'val_loss': '1.36369', 'val_r_square': '0.00501', 'train_loss': '0.93117'}
Epoch 29: {'val_loss': '1.37872', 'val_r_square': '0.00556', 'train_loss': '0.92991'}
Epoch 0: {'val_loss': '1.40516', 'val_r_square': '0.00398', 'train_loss': '1.13793'}
Epoch 1: {'val_loss': '1.34813', 'val_r_square': '0.00556', 'train_loss': '0.98133'}
Epoch 2: {'val_loss': '1.30541', 'val_r_square': '0.00546', 'train_loss': '0.96643'}
Epoch 3: {'val_loss': '1.39610', 'val_r_square': '0.00528', 'train_loss': '0.96354'}
Epoch 4: {'val_loss': '1.34804', 'val_r_square': '0.00451', 'train_loss': '0.95796'}
Epoch 5: {'val_loss': '1.43367', 'val_r_square': '0.00493', 'train_loss': '0.96030'}
